OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,GEOID,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,Homicide_2016,Homicide_2015,ID,GEOID_1,Total,Male,Female,U5,MU5,FU5,A5_9,MA5_9,FA5_9,A10_14,MA10_14,FA10_14,A15_19,MA15_19,FA15_19,A20_24,MA20_24,FA20_24,A25_29,MA25_29,FA25_29,A30_34,MA30_34,FA30_34,A35_39,MA35_39,FA35_39,A40_44,MA40_44,FA40_44,A45_49,MA45_49,FA45_49,A50_54,MA50_54,FA50_54,A55_59,MA55_59,FA55_59,A60_64,MA60_64,FA60_64,A65_69,MA65_69,FA65_69,A70_74,MA70_74,FA70_74,A75_79,MA75_79,FA75_79,A80_84,MA80_84,FA80_84,A85P,MA85P,FA85P,Total_Households,Married_Family_Household,Male_No_Wife,Female_No_Husband,Nonfamily_Household,Total1,Married,Widowed,Divorced,Seperated,Never_Married,MTotal,MMarried,MWidowed,MDivorced,MSeperated,MNever_Married,FTotal,FMarried,FWidowed,FDivorced,FSeperated,FNever_Married,Total2,NoDiploma,HSDiploma,SomeCollege,Associate,Bachelor,Graduate,PopPovStatDetermined,BelowPovertyLevel,P_BelowPovertyLevel,MedianHouseholdIncome,Median_Family_Income,Nonfamily_Household_Median_Income,Total_Households1,SNAP_Household_Recieveing,P_SNAP_Household_Recieveing,SNAP_Not_Recieving_Household,P_SNAP_Not_Recieving_Household,Total_Population,Insured,P_Insured,Uninsured,P_Uninsured,Total16andOver,LaborParticipationRate,UnemployementRate,Median_Household_Value,Total_Race,White,P_White,Black,P_Black,Asian,P_Asian,Hawaiian,P_Hawaiian,Other,P_Other,Two_Or_More,P_Two_Or_More,SHAPE_Length,SHAPE_Area,Homicide_1000
1,1,3,0,3,11001000202,Census Tract 2.02,803422.000000000000000,428336.000000000000000,+38.9063048,-77.0696362,1.0000000,0.0000000,1400000US11001000202,11001000202,4817.000000000000000,2195.000000000000000,2622.000000000000000,4.000000000000000,4.300000000000000,3.800000000000000,2.500000000000000,2.800000000000000,2.200000000000000,2.000000000000000,3.600000000000000,0.700000000000000,7.400000000000000,6.000000000000000,8.500000000000000,34.600000000000001,35.600000000000001,33.700000000000003,7.900000000000000,6.100000000000000,9.400000000000000,2.900000000000000,2.300000000000000,3.500000000000000,5.400000000000000,4.500000000000000,6.200000000000000,4.800000000000000,7.200000000000000,2.700000000000000,4.800000000000000,4.400000000000000,5.100000000000000,3.500000000000000,4.000000000000000,3.100000000000000,3.300000000000000,3.500000000000000,3.200000000000000,5.500000000000000,4.600000000000000,6.100000000000000,4.300000000000000,4.600000000000000,4.000000000000000,3.500000000000000,2.300000000000000,4.500000000000000,1.100000000000000,1.800000000000000,0.500000000000000,1.000000000000000,0.700000000000000,1.300000000000000,1.500000000000000,1.800000000000000,1.300000000000000,1727.000000000000000,528.000000000000000,33.000000000000000,64.000000000000000,1102.000000000000000,4406.000000000000000,27.199999999999999,1.500000000000000,8.100000000000000,1.000000000000000,62.200000000000003,1959.000000000000000,30.300000000000001,0.000000000000000,4.900000000000000,1.100000000000000,63.700000000000003,2447.000000000000000,24.800000000000001,2.700000000000000,10.600000000000000,0.900000000000000,61.000000000000000,4817.000000000000000,25.000000000000000,30.000000000000000,30.000000000000000,25.000000000000000,809.000000000000000,1452.000000000000000,3903.000000000000000,880.000000000000000,22.500000000000000,153705.000000000000000,230375.000000000000000,76333.000000000000000,1727.000000000000000,0.000000000000000,0.000000000000000,1727.000000000000000,100.000000000000000,4809.000000000000000,4699.000000000000000,97.700000000000003,110.000000000000000,2.300000000000000,4370.000000000000000,55.899999999999999,4.400000000000000,1103600.000000000000000,4817.000000000000000,4082.000000000000000,84.741540377828528,358.000000000000000,7.432011625493046,221.000000000000000,4.587917791156322,0.000000000000000,0.000000000000000,24.000000000000000,0.498235416234171,124.000000000000000,2.574216317209882,0.068730799060446,0.000127916229500,0.2075981
2,1,10,0,10,11001000702,Census Tract 7.02,293676.000000000000000,158.000000000000000,+38.9241146,-77.0790316,1.0000000,0.0000000,1400000US11001000702,11001000702,3316.000000000000000,1433.000000000000000,1883.000000000000000,3.700000000000000,3.100000000000000,4.200000000000000,1.600000000000000,2.900000000000000,0.600000000000000,0.500000000000000,1.000000000000000,0.000000000000000,3.200000000000000,7.300000000000000,0.000000000000000,8.699999999999999,10.900000000000000,7.000000000000000,36.200000000000003,37.100000000000001,35.600000000000001,9.400000000000000,10.800000000000001,8.400000000000000,9.400000000000000,7.400000000000000,10.900000000000000,6.200000000000000,2.300000000000000,9.199999999999999,4.600000000000000,4.400000000000000,4.800000000000000,3.400000000000000,4.500000000000000,2.500000000000000,2.000000000000000,2.100000000000000,1.900000000000000,1.000000000000000,0.000000000000000,1.800000000000000,3.700000000000000,3.000000000000000,4.300000000000000,1.200000000000000,0.900000000000000,1.400000000000000,3.000000000000000,1.000000000000000,4.500000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.200000000000000,1.300000000000000,2.900000000000000,2112.000000000000000,309.000000000000000,64.000000000000000,71.000000000000000,1668.000000000000000,3124.000000000000000,21.600000000000001,1.500000000000000,6.000000000000000,1.100000000000000,69.900000000000006,1333.000000000000000,24.699999999999999,0.000000000000000,2.100000000000000,1.400000000000000,71.900000000000006,1791.000000000000000,19.300000000000001,2.600000000000000,8.800000000000001,0.900000000000000,68.400000000000006,3316.000000000000000,0.000000000000000,129.000000000000000,336.000000000000000,47.000000000000000,1066.000000000000000,1128.000000000000000,3316.000000000000000,413.000000000000000,12.500000000000000,72346.000000000000000,103906.000000000000000,67061.000000000000000,2112.000000000000000,14.000000000000000,0.700000000000000,2098.000000000000000,99.299999999999997,3316.000000000000000,3204.000000000000000,96.599999999999994,112.000000000000000,3.400000000000000,3124.000000000000000,82.700000000000003,4.000000000000000,314700.000000000000000,3316.000000000000000,2779.000000000000000,83.805790108564537,175.000000000000000,5.277442702050664,225.000000000000000,6.785283474065139,0.000000000000000,0.000000000000000,80.000000000000000,2.412545235223160,49.000000000000000,1.477683956574186,0.028595467595001,0.000030522023000,0.3015682
3,1,23,0,23,11001001500,Census Tract 15,4686643.000000000000000,12091.000000000000000,+38.9741576,-77.0558797,1.0000000,0.0000000,1400000US11001001500,11001001500,6350.000000000000000,3217.000000000000000,3133.000000000000000,4.200000000000000,4.900000000000000,3.400000000000000,7.400000000000000,12.500000000000000,2.100000000000000,12.600000000000000,9.600000000000000,15.699999999999999,6.300000000000000,6.300000000000000,6.300000000000000,2.200000000000000,1.500000000000000,2.800000000000000,2.000000000000000,3.700000000000000,0.400000000000000,1.900000000000000,1.400000000000000,2.500000000000000,3.800000000000000,2.400000000000000,5.200000000000000,9.400000000000000,9.900000000000000,8.900000000000000,9.000000000000000,8.500000000000000,9.400000000000000,8.100000000000000,7.100000000000000,9.199999999999999,5.700000000000000,6.100000000000000,5.300000000000000,7.700000000000000,7.100000000000000,8.500000000000000,5.400000000000000,5.600000000000000,5.100000000000000,3.000000000000000,4.000000000000000,2.000000000000000,3.700000000000000,3.900000000000000,3.400000000000000,2.300000000000000,2.400000000000000,2.200000000000000,5.200000000000000,3.000000000000000,7.600000000000000,2046.000000000000000,1457.000000000000000,0.000000000000000,148.000000000000000,441.000000000000000,4815.000000000000000,62.600000000000001,7.400000000000000,6.700000000000000,0.000000000000000,23.300000000000001,2346.000000000000000,65.099999999999994,4.300000000000000,3.000000000000000,0.000000000000000,27.500000000000000,2469.000000000000000,60.100000000000001,10.400000000000000,10.199999999999999,0.000000000000000,19.199999999999999,6350.000000000000000,39.000000000000000,122.000000000000000,340.000000000000000,111.000000000000000,1275.000000000000000,2382.000000000000000,6130.000000000000000,106.000000000000000,1.700000000000000,200031.000000000000000,222569.000000000000000,99688.000000000000000,2046.000000000000000,0.000000000000000,0.000000000000000,2046.000000000000000,100.000000000000000,6130.000000000000000,5683.000000000000000,92.700000000000003,447.000000000000000,7.300000000000000,4738.000000000000000,66.900000000000006,2.800000000000000,929000.000000000000000,6350.000000000000000,5247.000000000000000,82.629921259842519,697.000000000000000,10.976377952755906,141.000000000000000,2.220472440944882,0.000000000000000,0.000000000000000,19.000000000000000,0.299212598425197,246.000000000000000,3.874015748031496,0.110745984568133,0.000488412857000,0.1574803
4,1,25,1,25,11001001702,Census Tract 17.02,939294.000000000000000,0.000000000000000,+38.9717231,-77.0160682,1.0000000,1.0000000,1400000US11001001702,11001001702,3083.000000000000000,1431.000000000000000,1652.000000000000000,6.600000000000000,7.500000000000000,5.900000000000000,2.900000000000000,2.000000000000000,3.700000000000000,2.400000000000000,2.500000000000000,2.200000000000000,2.500000000000000,1.300000000000000,3.500000000000000,4.100000000000000,2.600000000000000,5.400000000000000,11.600000000000000,17.199999999999999,6.800000000000000,10.800000000000001,10.699999999999999,10.800000000000001,6.800000000000000,5.100000000000000,8.199999999999999,5.400000000000000,6.700000000000000,4.300000000000000,10.400000000000000,11.300000000000001,9.600000000000000,7.200000000000000,9.500000000000000,5.100000000000000,9.600000000000000,8.699999999999999,10.400000000000000,5.200000000000000,2.900000000000000,7.100000000000000,7.300000000000000,5.200000000000000,9.199999999999999,2.700000000000000,3.400000000000000,2.100000000000000,1.400000000000000,0.800000000000000,1.900000000000000,1.100000000000000,0.700000000000000,1.400000000000000,2.200000000000000,1.900000000000000,2.400000000000000,1343.000000000000000,460.000000000000000,91.000000000000000,155.000000000000000,637.000000000000000,2717.000000000000000,39.600000000000001,5.300000000000000,10.600000000000000,1.100000000000000,43.299999999999997,1260.000000000000000,43.600000000000001,2.900000000000000,8.000000000000000,0.000000000000000,45.500000000000000,1457.000000000000000,36.100000000000001,7.400000000000000,12.900000000000000,2.100000000000000,41.500000000000000,3083.000000000000000,172.000000000000000,258.000000000000000,387.000000000000000,39.000000000000000,691.000000000000000,854.000000000000000,3049.000000000000000,273.000000000000000,9.000000000000000,92543.000000000000000,118438.000000000000000,76685.000000000000000,1343.000000000000000,33.000000000000000,2.500000000000000,1310.000000000000000,97.500000000000000,3083.000000000000000,2909.000000000000000,94.400000000000006,174.000000000000000,5.600000000000000,2708.000000000000000,80.000000000000000,8.400000000000000,418500.000000000000000,3083.000000000000000,1265.000000000000000,41.031462860849821,1495.000000000000000,48.491728835549793,40.000000000000000,1.297437560817386,9.000000000000000,0.291923451183912,191.000000000000000,6.195264352903017,83.000000000000000,2.692182938696075,0.049538462388223,0.000097632992000,0.3243594
5,1,30,0,30,11001002001,Census Tract 20.01,632723.000000000000000,1107.000000000000000,+38.9597034,-77.0351061,1.0000000,0.0000000,1400000US11001002001,11001002001,2848.000000000000000,1354.000000000000000,1494.000000000000000,8.900000000000000,10.900000000000000,7.000000000000000,3.900000000000000,4.400000000000000,3.500000000000000,5.100000000000000,6.600000000000000,3.800000000000000,2.100000000000000,2.300000000000000,1.900000000000000,2.200000000000000,2.400000000000000,2.100000000000000,6.300000000000000,5.800000000000000,6.800000000000000,11.000000000000000,9.300000000000001,12.600000000000000,6.100000000000000,5.700000000000000,6.500000000000000,8.000000000000000,12.000000000000000,4.400000000000000,7.200000000000000,5.500000000000000,8.800000000000001,7.600000000000000,8.100000000000000,7.200000000000000,6.000000000000000,6.600000000000000,5.400000000000000,7.900000000000000,7.000000000000000,8.800000000000001,4.200000000000000,1.300000000000000,6.900000000000000,8.100000000000000,7.300000000000000,8.800000000000001,2.600000000000000,3.100000000000000,2.100000000000000,1.600000000000000,1.600000000000000,1.600000000000000,1.000000000000000,0.300000000000000,1.700000000000000,1009.000000000000000,408.000000000000000,43.000000000000000,156.000000000000000,402.000000000000000,2337.000000000000000,43.700000000000003,6.600000000000000,6.100000000000000,3.000000000000000,40.500000000000000,1058.000000000000000,53.200000000000003,1.200000000000000,3.700000000000000,2.600000000000000,39.299999999999997,1279.000000000000000,35.899999999999999,11.000000000000000,8.100000000000000,3.400000000000000,41.500000000000000,2848.000000000000000,218.000000000000000,360.000000000000000,258.000000000000000,93.000000000000000,576.000000000000000,471.000000000000000,2848.000000000000000,194.000000000000000,6.800000000000000,63385.000000000000000,115625.000000000000000,31429.000000000000000,1009.000000000000000,143.000000000000000,14.199999999999999,866.000000000000000,85.799999999999997,2842.000000000000000,2602.000000000000000,91.599999999999994,240.000000000000000,8.400000000000000,2332.000000000000000,67.099999999999994,7.500000000000000,705500.000000000000000,2848.000000000000000,843.000000000000000,29.599719101123593,1239.000000000000000,43.504213483146067,98.000000000000000,3.441011235955056,0.000000000000000,0.000000000000000,519.000000000000000,18.223314606741571,71.000000000000000,2.492977528089888,0.043883286153208,0.000065871101000,0.3511236
6,2,31,1,31,11001002002,Census Tract 20.02,849377.000000000000000,0.000000000000000,+38.9525009,-77.0310824,2.0000000,1.0000000,1400000US11001002002,11001002002,3911.000000000000000,1858.000000000000000,2053.000000000000000,3.100000000000000,4.300000000000000,2.000000000000000,6.800000000000000,6.100000000000000,7.300000000000000,5.900000000000000,4.800000000000000,6.900000000000000,4.600000000000000,3.300000000000000,5.800000000000000,3.700000000000000,4.400000000000000,3.000000000000000,6.900000000000000,6.100000000000000,7.600000000000000,10.300000000000001,14.900000000000000,6.100000000000000,4.400000000000000,2.400000000000000,6.200000000000000,11.300000000000001,15.199999999999999,7.700000000000000,9.800000000000001,12.100000000000000,7.700000000000000,6.700000000000000,2.700000000000000,10.199999999999999,8.199999999999999,9.800000000000001,6.800000000000000,4.900000000000000,4.300000000000000,5.600000000000000,6.700000000000000,6.800000000000000,6.700000000000000,1.500000000000000,0.900000000000000,1.900000000000000,1.000000000000000,0.000000000000000,1.900000000000000,2.900000000000000,2.000000000000000,3.700000000000000,1.400000000000000,0.000000000000000,2.700000000000000,1376.000000000000000,497.000000000000000,89.000000000000000,171.000000000000000,619.000000000000000,3295.000000000000000,46.899999999999999,2.200000000000000,7.200000000000000,1.400000000000000,42.299999999999997,1574.000000000000000,51.100000000000001,0.000000000000000,5.800000000000000,0.500000000000000,42.600000000000001,1721.000000000000000,42.899999999999999,4.100000000000000,8.500000000000000,2.300000000000000,42.100000000000001,3911.000000000000000,234.000000000000000,611.000000000000000,605.000000000000000,60.000000000000000,601.000000000000000,664.000000000000000,3891.000000000000000,516.000000000000000,13.300000000000001,80703.000000000000000,103264.000000000000000,63625.000000000000000,1376.000000000000000,164.000000000000000,11.900000000000000,1212.000000000000000,88.099999999999994,3881.000000000000000,3698.000000000000000,95.299999999999997,183.000000000000000,4.700000000000000,3240.000000000000000,72.799999999999997,10.900000000000000,524800.000000000000000,3911.000000000000000,1014.000000000000000,25.926872922526208,2179.000000000000000,55.714650984402972,28.000000000000000,0.715929429813347,0.000000000000000,0.000000000000000,571.000000000000000,14.599846586550754,119.000000000000000,3.042700076706725,0.042667101883896,0.000088263121500,0.5113782
7,3,32,1,32,11001002101,Census Tract 21.01,600991.000000000000000,0.000000000000000,+38.9559119,-77.0241312,3.0000000,1.0000000,1400000US11001002101,11001002101,5859.000000000000000,2834.000000000000000,3025.000000000000000,7.400000000000000,6.500000000000000,8.199999999999999,6.100000000000000,5.200000000000000,6.900000000000000,6.500000000000000,5.100000000000000,7.800000000000000,6.200000000000000,6.300000000000000,6.200000000000000,5.100000000000000,7.600000000000000,2.700000000000000,7.100000000000000,7.100000000000000,7.200000000000000,8.300000000000001,5.600000000000000,10.800000000000001,6.800000000000000,6.800000000000000,6.800000000000000,4.400000000000000,3.500000000000000,5.300000000000000,9.500000000000000,11.400000000000000,7.700000000000000,8.400000000000000,7.600000000000000,9.100000000000000,9.000000000000000,12.400000000000000,5.800000000000000,4.000000000000000,3.300000000000000,4.700000000000000,3.100000000000000,3.800000000000000,2.500000000000000,2.500000000000000,2.300000000000000,2.600000000000000,2.100000000000000,3.700000000000000,0.600000000000000,0.400000000000000,0.300000000000000,0.400000000000000,3.100000000000000,1.600000000000000,4.500000000000000,2109.000000000000000,648.000000000000000,116.000000000000000,432.000000000000000,913.000000000000000,4690.000000000000000,31.800000000000001,7.800000000000000,8.900000000000000,6.100000000000000,45.399999999999999,2359.000000000000000,34.000000000000000,4.700000000000000,10.699999999999999,2.400000000000000,48.200000000000003,2331.000000000000000,29.500000000000000,11.000000000000000,7.000000000000000,10.000000000000000,42.500000000000000,5859.000000000000000,442.000000000000000,1279.000000000000000,938.000000000000000,13.000000000000000,680.000000000000000,344.000000000000000,5859.000000000000000,875.000000000000000,14.900000000000000,57565.000000000000000,63269.000000000000000,39863.000000000000000,2109.000000000000000,173.000000000000000,8.199999999999999,1936.000000000000000,91.799999999999997,5859.000000000000000,4705.000000000000000,80.299999999999997,1154.000000000000000,19.699999999999999,4526.000000000000000,72.400000000000006,10.000000000000000,340300.000000000000000,5859.000000000000000,556.000000000000000,9.489674005803037,3870.000000000000000,66.052227342549912,214.000000000000000,3.652500426693975,0.000000000000000,0.000000000000000,939.000000000000000,16.026625704045060,49.000000000000000,0.836320191158901,0.032142181642503,0.000062455220000,0.5120327
8,1,34,0,34,11001002201,Census Tract 22.01,415172.000000000000000,0.000000000000000,+38.9491337,-77.0232932,1.0000000,0.0000000,1400000US11001002201,11001002201,3704.000000000000000,1883.000000000000000,1821.000000000000000,4.800000000000000,4.800000000000000,4.700000000000000,5.500000000000000,7.300000000000000,3.600000000000000,3.100000000000000,4.500000000000000,1.600000000000000,4.800000000000000,4.200000000000000,5.300000000000000,11.199999999999999,17.199999999999999,4.900000000000000,12.100000000000000,11.600000000000000,12.600000000000000,8.000000000000000,6.100000000000000,9.900000000000000,5.300000000000000,3.700000000000000,6.900000000000000,5.400000000000000,6.900000000000000,3.800000000000000,7.900000000000000,9.300000000000001,6.400000000000000,5.500000000000000,3.600000000000000,7.400000000000000,6.600000000000000,6.800000000000000,6.400000000000000,5.700000000000000,4.500000000000000,7.000000000000000,2.700000000000000,3.300000000000000,2.100000000000000,3.500000000000000,2.900000000000000,4.200000000000000,3.100000000000000,1.900000000000000,4.300000000000000,1.700000000000000,1.000000000000000,2.400000000000000,3.400000000000000,0.400000000000000,6.400000000000000,1168.000000000000000,498.000000000000000,82.000000000000000,247.000000000000000,341.000000000000000,3212.000000000000000,37.500000000000000,8.400000000000000,4.300000000000000,1.200000000000000,48.500000000000000,1570.000000000000000,37.100000000000001,4.600000000000000,3.900000000000000,1.700000000000000,52.700000000000003,1642.000000000000000,37.899999999999999,12.000000000000000,4.800000000000000,0.800000000000000,44.600000000000001,3704.000000000000000,147.000000000000000,667.000000000000000,531.000000000000000,148.000000000000000,641.000000000000000,285.000000000000000,3658.000000000000000,289.000000000000000,7.900000000000000,65638.000000000000000,78563.000000000000000,41094.000000000000000,1168.000000000000000,246.000000000000000,21.100000000000001,922.000000000000000,78.900000000000006,3704.000000000000000,3511.000000000000000,94.799999999999997,193.000000000000000,5.200000000000000,3187.000000000000000,72.099999999999994,13.800000000000001,426000.000000000000000,3704.000000000000000,395.000000000000000,10.664146868250540,2668.000000000000000,72.030237580993514,85.000000000000000,2.294816414686825,0.000000000000000,0.000000000000000,450.000000000000000,12.149028077753780,68.000000000000000,1.835853131749460,0.026499620038552,0.000043140605500,0.2699784
9,2,35,0,35,11001002202,Census Tract 22.02,693964.000000000000000,566.000000000000000,+38.9479653,-77.0118821,2.0000000,0.0000000,1400000US11001002202,11001002202,3974.000000000000000,2071.000000000000000,1903.000000000000000,9.600000000000000,12.100000000000000,6.800000000000000,3.700000000000000,3.600000000000000,3.800000000000000,8.000000000000000,7.700000000000000,8.400000000000000,5.900000000000000,8.900000000000000,2.700000000000000,6.700000000000000,9.500000000000000,3.800000000000000,9.600000000000000,7.100000000000000,12.300000000000001,15.100000000000000,14.699999999999999,15.600000000000000,9.300000000000001,9.800000000000001,8.699999999999999,6.700000000000000,7.800000000000000,5.500000000000000,4.900000000000000,3.100000000000000,6.700000000000000,5.600000000000000,4.800000000000000,6.400000000000000,3.200000000000000,3.100000000000000,3.300000000000000,3.200000000000000,2.700000000000000,3.700000000000000,3.200000000000000,1.000000000000000,5.600000000000000,1.400000000000000,1.200000000000000,1.600000000000000,1.400000000000000,1.700000000000000,1.100000000000000,1.800000000000000,1.000000000000000,2.700000000000000,0.800000000000000,0.300000000000000,1.400000000000000,1313.000000000000000,293.000000000000000,92.000000000000000,392.000000000000000,536.000000000000000,3129.000000000000000,24.399999999999999,3.900000000000000,8.000000000000000,3.700000000000000,60.000000000000000,1587.000000000000000,24.500000000000000,1.200000000000000,6.500000000000000,0.800000000000000,67.000000000000000,1542.000000000000000,24.199999999999999,6.700000000000000,9.500000000000000,6.800000000000000,52.799999999999997,3974.000000000000000,222.000000000000000,734.000000000000000,541.000000000000000,93.000000000000000,441.000000000000000,351.000000000000000,3974.000000000000000,1049.000000000000000,26.399999999999999,48274.000000000000000,51445.000000000000000,40326.000000000000000,1313.000000000000000,297.000000000000000,22.600000000000001,1016.000000000000000,77.400000000000006,3974.000000000000000,3240.000000000000000,81.500000000000000,734.000000000000000,18.500000000000000,3057.000000000000000,66.599999999999994,15.400000000000000,378700.000000000000000,3974.000000000000000,291.000000000000000,7.322596879718168,2555.000000000000000,64.292903875188728,62.000000000000000,1.560140915953699,0.000000000000000,0.000000000000000,967.000000000000000,24.333165576245598,93.000000000000000,2.340211373930549,0.034509572832336,0.000072168467500,0.5032713
10,1,38,1,38,11001002400,Census Tract 24,556234.000000000000000,0.000000000000000,+38.9417839,-77.0224053,1.0000000,1.0000000,1400000US11001002400,11001002400,4257.000000000000000,2153.000000000000000,2104.000000000000000,6.100000000000000,3.400000000000000,8.800000000000001,3.700000000000000,3.200000000000000,4.200000000000000,1.600000000000000,2.100000000000000,1.100000000000000,6.100000000000000,7.600000000000000,4.500000000000000,8.600000000000000,9.800000000000001,7.500000000000000,12.000000000000000,10.800000000000001,13.199999999999999,10.500000000000000,7.800000000000000,13.300000000000001,7.500000000000000,7.900000000000000,7.100000000000000,8.199999999999999,9.199999999999999,7.300000000000000,5.500000000000000,7.200000000000000,3.800000000000000,7.200000000000000,9.800000000000001,4.600000000000000,7.300000000000000,7.100000000000000,7.600000000000000,5.900000000000000,6.300000000000000,5.500000000000000,3.500000000000000,3.100000000000000,3.800000000000000,1.200000000000000,0.700000000000000,1.700000000000000,1.700000000000000,1.000000000000000,2.400000000000000,1.400000000000000,1.300000000000000,1.500000000000000,2.000000000000000,1.800000000000000,2.200000000000000,1352.000000000000000,409.000000000000000,67.000000000000000,285.000000000000000,591.000000000000000,3771.000000000000000,27.199999999999999,4.900000000000000,7.900000000000000,2.800000000000000,57.200000000000003,1965.000000000000000,27.000000000000000,1.100000000000000,10.600000000000000,2.500000000000000,58.799999999999997,1806.000000000000000,27.399999999999999,9.000000000000000,5.000000000000000,3.200000000000000,55.399999999999999,4257.000000000000000,175.000000000000000,668.000000000000000,623.000000000000000,77.000000000000000,745.000000000000000,671.000000000000000,4222.000000000000000,329.000000000000000,7.800000000000000,96667.000000000000000,94395.000000000000000,95114.000000000000000,1352.000000000000000,194.000000000000000,14.300000000000001,1158.000000000000000,85.700000000000003,4222.000000000000000,3833.000000000000000,90.799999999999997,389.000000000000000,9.199999999999999,3719.000000000000000,72.799999999999997,10.500000000000000,457500.000000000000000,4257.000000000000000,1034.000000000000000,24.289405684754524,2296.000000000000000,53.934695795160913,105.000000000000000,2.466525722339676,0.000000000000000,0.000000000000000,639.000000000000000,15.010570824524313,161.000000000000000,3.782006107587503,0.032395558066955,0.000057792455000,0.2349072
